ID;Types of Millets;Common Name;Category;Drought resistant;Flood Resistant;Min Temperature (ºC);Max Temperature (ºC);pH level of the soil Min;pH level of the soil Max;Soil type;Soil Salinity (dS/m) Min;Soil Salinity (dS/m) Max;Rainfall Required (cm) Min;Rainfall Required (cm) Max;Altitude range (m) Min;Altitude range (m) Max;Soil Temperature (ºC) Min;Soil Temperature (ºC) Max;"Soil moisture
min";"Soil moisture
max";Light Duration (hours) Min;Light Duration (hours) Max;Land usage for each crop (t/ha) Min;Land usage for each crop (t/ha) Max;Seeding Rate (kg/ha) Min;Seeding Rate (kg/ha) Max;Maturity time (days) Min;Maturity time (days) Max;Planting Depth (cm) Min;Planting Depth (cm) Max;Planting Geometry (cm x cm);Protein (g);Fat (g);Ash (g);Crude Fibre (g);Carbo- hydrates (g);Energy (kcal);Calcium (mg);Iron (mg);Thiamine (mg);Ribo- flavin (mg);Nia- cin (mg);Price (US$ / Kg)
23;Barnyard grass millet (Echinochloa crus-galli);Barnyard grass millet or Jungle rice;Minor;0.0;1.0;20.0;30.0;6.0;7.0;SLC;0.0;2.0;600.0;900.0;0.0;2000.0;20.0;30.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;15x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
24;Naked barley (Hordeum vulgare var. nudum);Naked barley;Major;1.0;0.0;10.0;25.0;6.0;7.5;SLC;0.0;2.0;400.0;600.0;0.0;3000.0;10.0;25.0;20 %;70 %;12.0;14.0;1.0;2.0;100.0;150.0;90.0;110.0;3.0;5.0;15x20;9.9;1.9;1.7;2.3;81.9;352.0;30.0;2.8;0.12;0.05;0.7;17.24487782769231
25;Panic millet (Panicum miliaceum subsp. ruderale);Panic millet;Major;1.0;0.0;20.0;30.0;6.0;7.5;SLC;0.0;2.0;400.0;600.0;0.0;2000.0;20.0;30.0;20 %;70 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;15-30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
26;Sorghum (Sorghum bicolor);Sorghum or Jowar;Major;1.0;0.0;25.0;35.0;6.0;7.5;SLC;3.0;5.0;400.0;800.0;0.0;2000.0;12.0;34.0;20 %;70 %;12.0;14.0;2.0;5.0;10.0;20.0;115.0;140.0;2.0;4.0;20x30;10.6;3.1;1.9;1.7;78.8;361.0;29.0;1.5;0.22;0.11;1.2;17.24487782769231
27;Sawa millet (Echinochloa stagnina);Sawa millet;Minor;0.0;1.0;25.0;35.0;6.0;7.5;SLC;0.0;2.0;600.0;900.0;0.0;1500.0;25.0;35.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;80.0;100.0;2.0;3.0;10x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
28;Barnyard Grass Millet (Echinochloa crus-galli);Barnyard grass millet or Jungle rice;Minor;0.0;1.0;20.0;30.0;5.5;7.0;SLC;0.0;2.0;600.0;900.0;0.0;2000.0;20.0;30.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;60.0;75.0;2.0;3.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
29;Japanese Barnyard Millet (Echinochloa frumentacea);Japanese barnyard millet or Sanwa millet;Minor;0.0;1.0;25.0;35.0;5.5;7.0;SLC;3.0;5.0;600.0;900.0;0.0;2000.0;25.0;35.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;20x30;11.2;3.5;2.2;2.6;73.5;366.0;14.0;9.2;0.34;0.12;1.3;17.24487782769231
30;Himalayan Foxtail Millet (Setaria italica subsp. himalayensis);Himalayan foxtail millet or Kakum;Minor;0.0;1.0;20.0;30.0;6.0;7.5;SLC;3.0;5.0;600.0;800.0;1000.0;2500.0;20.0;30.0;20 %;70 %;12.0;14.0;1.0;2.0;5.0;10.0;50.0;75.0;2.0;3.0;15x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
31;Italian Barnyard Millet (Echinochloa crus-galli);Italian barnyard millet or Jungle rice;Minor;0.0;1.0;25.0;35.0;5.5;7.0;SLC;3.0;5.0;600.0;900.0;0.0;2000.0;25.0;35.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;40x60;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
32;Foxtail Barnyard Millet (Echinochloa frumentacea);Foxtail barnyard millet or Kakum;Minor;0.0;1.0;25.0;35.0;5.5;7.0;SLC;3.0;5.0;600.0;900.0;0.0;2000.0;25.0;35.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;20x30;11.2;3.5;2.2;2.6;73.5;366.0;14.0;9.2;0.34;0.12;1.3;17.24487782769231
33;Siberian Millet (Panicum miliaceum subsp. sibiricum);Siberian millet;Minor;1.0;0.0;20.0;30.0;6.0;7.0;SLC;0.0;2.0;400.0;600.0;0.0;2000.0;20.0;30.0;20 %;70 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;90.0;2.0;3.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
34;Italian Foxtail Millet (Setaria italica subsp. pycnocoma);Italian foxtail millet;Minor;0.0;1.0;25.0;35.0;6.0;7.5;SLC;0.0;2.0;600.0;800.0;1000.0;2500.0;25.0;35.0;20 %;70 %;12.0;14.0;1.0;2.0;5.0;10.0;60.0;75.0;2.0;3.0;15x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
